SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
217.25,15.33,0.566,53.95,0.402,0.1,4.631,303.34,77.74,1.332,56.568
68.4,21.27,0.414,55.71,0.149,0.464,5.962,295.54,46.85,1.978,50.212
447.74,20.62,0.483,40.97,0.189,0.547,8.78,297.83,84.17,2.989,68.398
411.06,14.0,0.651,56.04,0.302,0.353,6.421,293.42,34.87,1.714,89.296
135.71,25.86,0.531,82.68,0.35,0.646,7.641,298.82,250.0,1.09,64.926
579.21,17.95,0.572,59.59,0.464,0.65,6.575,301.14,151.98,2.426,112.671
257.01,17.7,0.463,48.28,0.313,0.227,5.213,290.91,26.8,1.973,62.534
144.49,10.3,0.65,67.56,0.273,0.549,6.985,292.58,184.73,2.959,61.504
291.11,13.22,0.373,58.99,0.461,0.564,5.539,292.27,17.43,1.079,71.232
357.84,18.63,0.588,46.79,0.452,0.65,4.081,285.32,84.44,1.514,65.33
197.95,9.87,0.464,60.32,0.326,0.197,10.0,306.53,250.0,2.115,52.797
77.93,17.14,0.573,52.77,0.4,0.513,3.167,312.08,54.41,3.144,34.348
585.62,14.25,0.456,47.42,0.106,0.85,4.535,303.17,23.66,0.883,75.724
146.08,17.36,0.579,69.16,0.132,0.506,6.528,301.88,36.5,7.645,46.634
225.88,18.19,0.52,69.43,0.454,0.396,6.595,300.32,37.85,3.097,71.35
405.73,12.77,0.663,58.07,0.278,0.485,4.382,297.28,31.57,2.007,64.729
549.84,9.31,0.466,54.2,0.362,0.476,2.367,300.34,49.47,2.274,77.882
277.78,17.22,0.578,53.46,0.278,0.711,6.766,290.39,101.8,1.639,80.436
103.88,20.94,0.692,46.11,0.483,0.781,10.0,299.02,147.57,2.327,39.373
528.67,14.58,0.491,55.75,0.148,0.256,5.771,304.68,98.28,5.461,93.284
154.19,14.54,0.413,77.85,0.177,0.127,7.596,286.37,43.56,2.996,46.867
255.16,15.01,0.321,45.52,0.387,0.159,10.0,293.39,33.23,4.415,43.442
634.53,15.68,0.281,85.0,0.07,0.62,3.873,283.45,44.98,1.884,60.044
601.76,10.81,0.442,48.74,0.447,0.514,8.132,295.64,35.2,0.627,102.296
295.19,16.37,0.451,60.32,0.143,0.38,3.265,299.94,39.89,2.443,44.954
155.98,20.18,0.621,68.61,0.17,0.506,7.167,300.44,79.62,2.175,57.4
88.86,14.92,0.577,82.89,0.433,0.552,7.328,293.5,168.45,4.521,55.274
216.46,15.42,0.624,66.69,0.376,0.671,8.29,305.57,6.46,1.498,42.929
324.19,18.31,0.46,36.14,0.177,0.334,4.533,300.14,146.65,0.731,67.302
168.87,17.07,0.598,39.28,0.295,0.758,7.947,310.27,124.31,3.848,55.395
293.13,18.79,0.551,63.58,0.371,0.554,6.046,294.7,30.66,3.878,67.651
259.38,11.05,0.57,45.72,0.297,0.49,8.218,298.37,38.81,2.241,58.692
811.25,8.28,0.321,36.62,0.104,0.373,6.134,290.83,13.83,2.379,90.878
435.82,16.7,0.384,50.6,0.179,0.631,6.661,301.89,7.95,2.892,81.496
388.79,16.39,0.427,50.84,0.188,0.432,9.39,287.32,250.0,1.474,71.284
242.04,21.94,0.563,59.01,0.295,0.612,9.689,305.05,85.55,1.792,53.59
177.34,16.42,0.646,71.31,0.358,0.772,4.303,289.95,155.36,3.053,49.338
125.92,19.34,0.546,71.23,0.503,0.183,2.0,295.67,63.86,2.445,36.673
140.77,22.38,0.503,66.61,0.297,0.625,5.107,296.04,28.96,0.802,46.662
504.63,13.61,0.531,56.68,0.074,0.182,6.182,300.5,37.59,6.774,78.341
210.13,21.88,0.454,36.11,0.416,0.546,9.26,296.72,35.23,2.32,43.491
208.71,19.79,0.629,34.01,0.366,0.739,6.392,305.36,250.0,3.82,78.418
384.81,19.25,0.452,36.87,0.171,0.704,8.025,288.33,72.55,3.137,78.062
299.87,15.77,0.539,54.83,0.193,0.62,6.04,311.29,46.66,4.155,69.493
259.68,16.84,0.536,58.83,0.298,0.461,8.276,295.63,15.11,2.315,51.089
518.61,16.73,0.275,38.92,0.348,0.456,4.504,286.24,11.76,2.231,74.233
371.97,14.04,0.635,54.35,0.365,0.481,8.162,291.83,64.64,1.996,74.625
195.78,16.36,0.597,42.73,0.232,0.636,8.358,296.96,39.42,1.478,51.902
210.55,17.44,0.523,53.05,0.307,0.365,8.197,298.81,20.35,1.604,48.299
87.3,15.71,0.595,63.62,0.205,0.691,3.075,297.37,135.34,2.121,29.417
176.69,14.81,0.558,58.56,0.259,0.55,6.337,304.15,56.99,2.052,61.304
115.31,18.05,0.477,59.04,0.214,0.261,4.298,297.88,250.0,2.105,47.33
117.99,17.86,0.643,39.43,0.369,0.514,10.0,297.04,45.36,6.692,24.355
270.93,17.79,0.542,53.42,0.397,0.679,4.574,293.42,143.02,1.659,70.645
161.29,16.18,0.554,56.22,0.428,0.277,4.941,291.54,28.71,4.552,49.711
138.43,14.66,0.476,46.55,0.346,0.373,8.0,298.48,30.79,1.886,52.937
856.9,13.9,0.324,59.02,0.509,0.298,10.0,295.29,158.26,0.956,96.292
68.35,18.51,0.523,62.16,0.371,0.171,5.745,294.52,20.43,0.837,46.2
205.51,12.44,0.517,39.15,0.05,0.337,5.112,296.33,62.06,1.652,55.552
240.52,16.75,0.569,66.74,0.05,0.557,4.657,301.42,12.35,1.255,43.142
297.08,15.13,0.519,53.98,0.128,0.166,8.382,297.99,14.07,4.411,47.244
111.63,20.83,0.581,54.65,0.238,0.368,6.376,295.8,39.09,1.232,56.033
164.91,14.85,0.374,28.21,0.262,0.598,4.023,289.42,70.38,2.609,51.41
160.55,18.38,0.421,51.27,0.384,0.227,5.531,302.74,113.05,0.935,68.659
441.21,17.85,0.382,52.86,0.306,0.349,5.214,291.96,75.19,1.517,87.332
112.27,18.0,0.484,55.53,0.345,0.647,6.725,301.27,68.48,1.619,58.318
270.73,11.7,0.628,56.22,0.222,0.1,8.803,301.95,80.76,0.9,57.739
1000.0,5.17,0.487,72.41,0.086,0.546,6.698,300.28,14.67,2.536,93.494
219.66,16.01,0.626,38.98,0.281,0.688,4.429,292.68,25.35,4.368,44.43
265.73,21.4,0.512,37.34,0.39,0.431,7.02,295.1,79.12,0.863,80.065
281.7,19.41,0.533,66.71,0.36,0.231,6.706,292.92,67.74,3.974,78.489
183.84,24.14,0.581,47.8,0.38,0.242,5.47,288.3,21.2,1.429,53.249
102.06,15.13,0.431,43.37,0.214,0.41,9.875,288.3,95.69,3.842,35.619
94.37,19.31,0.686,43.11,0.156,0.303,2.618,295.94,102.87,4.247,29.936
49.49,19.44,0.674,43.43,0.241,0.768,6.96,295.74,103.32,2.633,49.889
296.59,14.03,0.56,58.58,0.464,0.296,5.347,301.34,96.94,1.886,76.035
125.23,15.49,0.553,63.72,0.387,0.406,8.511,296.83,34.41,1.017,46.699
177.51,15.99,0.489,31.51,0.216,0.463,7.139,292.43,156.76,2.559,65.505
496.73,16.45,0.489,49.86,0.181,0.527,10.0,304.91,34.38,3.575,56.348
318.51,17.9,0.496,73.4,0.228,0.637,9.344,309.17,39.2,1.761,45.626
262.04,19.32,0.534,46.28,0.26,0.625,6.075,292.54,17.99,1.785,60.04
202.1,13.21,0.48,64.27,0.213,0.505,8.124,305.25,45.2,1.151,51.653
172.46,19.1,0.483,57.8,0.212,0.661,7.057,297.31,50.33,3.29,56.624
243.83,19.49,0.526,48.59,0.344,0.709,5.842,291.4,139.11,2.479,80.98
155.66,13.79,0.437,39.38,0.192,0.415,3.651,294.87,30.39,0.754,29.65
165.3,18.76,0.515,61.8,0.246,0.151,6.113,291.05,55.38,4.484,54.718
243.54,17.32,0.686,49.59,0.386,0.442,7.151,297.33,25.29,1.299,69.234
173.34,22.84,0.586,57.53,0.311,0.666,5.233,291.98,126.88,2.575,60.637
266.8,18.15,0.261,54.32,0.274,0.284,5.445,298.46,17.28,1.646,60.839
394.76,15.99,0.34,30.83,0.406,0.356,8.044,294.27,37.6,1.333,80.821
454.33,15.05,0.484,49.33,0.428,0.423,5.054,306.72,23.87,0.455,89.487
273.48,12.99,0.508,31.99,0.331,0.634,5.211,284.62,16.08,2.525,53.452
635.36,11.04,0.411,57.45,0.128,0.292,10.0,295.36,130.73,2.377,75.214
120.06,23.38,0.479,43.83,0.264,0.572,10.0,301.03,250.0,2.683,44.193
189.78,22.12,0.529,53.96,0.417,0.1,9.304,294.32,28.84,1.911,44.882
148.11,23.41,0.52,52.52,0.512,0.268,4.585,289.13,75.54,1.193,58.205
113.25,21.45,0.494,50.79,0.269,0.402,7.106,300.61,117.21,6.604,63.39
563.09,18.25,0.425,44.27,0.401,0.548,8.187,300.6,34.58,1.425,99.312
154.74,12.1,0.491,62.91,0.118,0.58,4.427,296.6,9.85,0.866,31.499
692.58,15.91,0.488,52.71,0.381,0.792,5.505,303.68,34.57,4.41,106.275
91.11,19.94,0.687,57.5,0.063,0.353,4.007,301.6,25.19,3.045,23.468
81.14,20.14,0.52,53.14,0.464,0.54,3.517,302.79,14.91,2.461,34.567
47.45,17.49,0.662,42.35,0.314,0.294,8.971,300.0,24.67,2.478,26.666
413.38,19.41,0.45,48.51,0.05,0.1,4.973,285.96,62.05,1.343,70.418
173.66,17.38,0.422,59.55,0.315,0.225,8.641,283.3,26.32,6.023,38.865
236.82,16.66,0.636,29.4,0.291,0.27,6.176,304.28,154.83,1.347,78.666
1000.0,11.82,0.396,44.79,0.239,0.612,3.664,290.52,180.35,2.847,89.332
748.11,8.35,0.393,74.28,0.515,0.741,3.956,291.54,22.09,1.61,84.924
177.71,19.64,0.613,63.14,0.219,0.552,8.142,296.06,82.05,1.862,48.834
159.51,19.96,0.537,69.12,0.549,0.337,4.756,295.93,8.02,2.168,45.064
301.36,20.76,0.486,78.51,0.407,0.454,10.0,284.76,76.44,1.93,48.577
187.31,14.25,0.502,56.22,0.267,0.687,7.257,285.21,30.61,3.542,57.385
175.37,22.35,0.49,53.25,0.453,0.435,7.764,305.75,250.0,1.083,74.493
131.05,20.84,0.519,55.02,0.109,0.792,5.867,303.83,31.73,1.556,49.205
219.12,16.5,0.458,49.32,0.388,0.514,5.695,300.11,96.34,1.021,79.724
185.52,20.3,0.432,63.66,0.419,0.327,5.655,304.33,43.27,1.0,66.169
226.54,21.63,0.632,65.8,0.486,0.528,6.647,295.08,37.64,1.57,71.051
406.56,18.07,0.399,68.55,0.298,0.314,4.228,304.08,5.33,2.653,60.782
364.47,13.2,0.446,41.76,0.341,0.613,7.312,298.59,250.0,5.437,93.417
581.33,12.67,0.495,68.64,0.232,0.77,5.921,303.75,150.42,1.985,102.111
85.53,19.28,0.492,45.7,0.136,0.497,5.358,300.27,101.48,1.355,49.944
267.26,13.96,0.408,40.57,0.266,0.362,7.444,295.08,54.33,3.619,64.406
193.62,19.04,0.47,66.52,0.312,0.425,3.673,298.16,250.0,4.911,50.873
145.39,20.45,0.605,36.59,0.221,0.446,8.239,289.17,43.03,2.747,41.324
316.46,20.98,0.44,54.87,0.139,0.461,7.344,300.85,118.86,1.952,76.803
228.38,16.64,0.507,49.6,0.333,0.424,8.249,298.11,80.55,10.0,57.613
108.86,20.81,0.507,54.56,0.2,0.603,9.075,304.42,10.13,1.075,26.543
450.56,11.25,0.51,45.22,0.229,0.85,5.848,291.88,250.0,2.143,93.009
128.83,19.39,0.594,50.28,0.321,0.384,6.739,306.8,136.94,2.261,67.046
339.37,17.99,0.465,38.39,0.374,0.537,6.547,295.11,23.6,2.615,78.892
285.21,17.45,0.418,51.87,0.342,0.411,8.308,303.84,46.22,2.618,66.868
221.39,17.82,0.496,62.31,0.366,0.283,7.867,291.03,41.66,2.473,57.743
299.09,16.28,0.453,52.04,0.171,0.167,7.784,289.43,91.22,1.201,65.376
130.2,22.37,0.47,51.33,0.511,0.34,6.524,296.27,104.11,9.797,72.604
153.3,18.29,0.481,53.74,0.419,0.259,6.352,292.49,65.81,1.6,65.28
112.3,22.05,0.483,48.82,0.106,0.345,3.005,300.68,40.92,1.864,22.698
122.38,19.26,0.534,60.95,0.246,0.585,6.295,302.42,92.82,5.539,61.252
550.11,7.97,0.549,44.0,0.402,0.224,6.947,292.62,16.9,2.369,98.388
162.17,22.43,0.604,53.89,0.05,0.295,8.073,289.63,212.28,1.743,49.398
366.03,17.89,0.554,45.85,0.413,0.428,5.607,306.44,28.28,3.942,79.329
125.55,15.54,0.577,55.97,0.057,0.574,5.171,295.35,99.45,1.127,51.952
229.89,21.04,0.598,56.2,0.344,0.424,9.183,295.25,250.0,1.244,57.142
196.52,13.89,0.635,61.45,0.2,0.442,6.224,308.35,47.29,2.004,60.205
127.7,13.75,0.508,47.64,0.291,0.1,5.537,289.25,66.36,2.097,56.424
187.28,13.05,0.549,53.25,0.305,0.631,6.466,303.49,65.55,4.354,67.964
85.84,16.57,0.481,41.14,0.248,0.111,8.013,307.54,16.87,1.628,33.026
284.1,18.87,0.509,65.17,0.204,0.302,6.324,306.1,35.29,1.452,69.963
712.55,10.0,0.381,48.64,0.411,0.516,6.837,299.37,18.09,1.563,105.911
277.57,22.23,0.415,69.23,0.519,0.68,9.65,303.67,100.74,4.635,52.687
206.71,16.82,0.407,60.03,0.272,0.4,4.888,293.02,97.0,0.475,61.649
678.1,12.66,0.415,58.52,0.285,0.378,9.0,297.47,119.21,3.16,93.194
594.96,14.66,0.458,70.25,0.233,0.623,6.908,300.18,172.98,1.897,103.853
170.63,22.61,0.531,63.84,0.26,0.337,6.052,296.32,158.6,1.504,63.952
310.01,15.47,0.479,41.2,0.414,0.1,4.778,287.82,73.78,1.364,69.095
392.68,13.77,0.667,45.72,0.144,0.411,8.744,293.99,172.06,1.317,67.461
144.03,16.87,0.489,61.36,0.241,0.538,8.728,308.85,32.82,2.683,39.684
128.74,21.43,0.661,45.97,0.197,0.41,5.187,287.32,77.09,4.172,48.959
436.11,14.08,0.454,61.53,0.232,0.519,6.002,292.15,53.76,1.938,93.269
252.09,16.37,0.44,60.24,0.247,0.772,6.782,292.25,20.82,0.864,69.509
97.51,12.23,0.627,56.52,0.456,0.155,7.255,305.15,42.43,1.11,62.776
289.5,22.16,0.442,66.93,0.428,0.412,6.541,303.42,22.11,2.047,74.387
153.54,21.09,0.405,85.0,0.247,0.688,8.752,293.49,17.31,0.607,35.101
149.5,16.62,0.49,59.54,0.375,0.326,7.169,290.6,131.58,1.328,66.888
148.0,22.33,0.68,61.9,0.333,0.543,3.784,287.85,119.76,1.093,42.862
507.7,13.2,0.269,44.91,0.174,0.419,7.105,310.41,86.31,3.217,96.026
299.68,19.2,0.53,48.97,0.459,0.616,8.974,294.7,138.84,1.16,70.706
390.01,15.44,0.476,67.9,0.323,0.476,4.275,288.96,122.05,1.835,76.46
97.95,21.85,0.598,46.81,0.288,0.414,7.346,305.43,191.47,0.412,64.78
113.82,23.19,0.579,70.19,0.151,0.36,3.964,303.18,18.69,5.281,17.451
104.08,17.14,0.663,40.45,0.207,0.606,3.444,305.61,45.75,5.124,30.176
232.64,19.85,0.53,59.52,0.269,0.335,9.195,299.78,57.08,1.649,43.804
66.73,18.78,0.695,54.48,0.242,0.594,3.971,297.07,164.49,3.606,37.952
90.19,20.37,0.391,53.84,0.212,0.779,5.482,288.08,112.13,0.786,58.194
177.41,23.15,0.497,58.28,0.432,0.272,4.319,296.45,22.86,2.886,42.93
992.18,6.63,0.186,41.43,0.478,0.206,4.441,301.79,62.78,2.315,104.044
184.35,16.14,0.565,48.17,0.359,0.463,7.475,293.23,118.33,0.725,67.59
140.78,15.86,0.475,57.53,0.203,0.62,6.078,303.37,101.71,0.86,66.578
369.79,20.43,0.606,62.58,0.398,0.354,4.487,297.55,250.0,1.566,88.528
308.26,18.58,0.565,64.49,0.211,0.505,8.496,294.52,57.09,1.447,62.047
90.41,13.45,0.556,45.49,0.24,0.457,8.815,298.95,165.04,2.57,44.812
391.55,18.19,0.518,49.01,0.17,0.572,10.0,299.04,184.9,2.336,63.795
832.23,11.69,0.437,45.94,0.304,0.517,6.395,294.49,51.79,2.489,103.964
889.88,7.59,0.399,44.85,0.342,0.458,8.154,294.92,250.0,2.196,108.273
172.65,21.88,0.604,54.46,0.464,0.329,8.537,295.7,49.97,1.367,50.546
54.22,18.78,0.53,59.35,0.434,0.419,7.215,301.79,149.41,1.227,65.038
90.26,23.77,0.503,76.56,0.254,0.382,4.595,298.22,23.13,3.783,27.978
130.62,13.46,0.544,36.02,0.277,0.351,6.564,308.26,22.56,2.918,55.356
350.28,14.77,0.503,66.38,0.359,0.535,4.92,293.17,75.92,3.075,73.25
75.32,20.98,0.603,56.57,0.215,0.362,6.459,301.76,93.04,2.732,54.038
83.49,16.8,0.554,55.68,0.466,0.803,3.668,290.29,17.72,4.321,32.868
167.81,18.01,0.4,41.41,0.532,0.31,7.46,291.28,28.13,1.581,60.093
146.05,16.66,0.688,41.49,0.354,0.769,6.393,310.69,81.23,3.217,61.252
237.1,11.65,0.474,69.14,0.325,0.455,6.009,298.04,26.35,1.417,65.827
110.3,20.71,0.611,53.29,0.519,0.503,4.61,293.61,45.33,1.801,49.083
348.67,14.29,0.436,61.35,0.337,0.375,6.649,297.77,33.51,1.283,82.962
388.63,18.6,0.549,53.28,0.309,0.259,5.007,296.62,18.84,3.389,67.766
227.44,15.95,0.653,57.03,0.218,0.443,8.543,307.29,46.74,0.44,49.527
155.13,13.22,0.5,57.11,0.582,0.503,3.313,294.59,27.27,0.644,44.88
147.55,20.4,0.642,55.31,0.362,0.347,7.873,290.38,160.3,1.464,59.321
213.3,20.08,0.454,66.92,0.353,0.334,5.848,294.03,36.91,1.689,62.287
89.76,16.84,0.659,51.78,0.242,0.55,5.776,301.26,250.0,7.853,59.185
68.22,24.24,0.613,50.25,0.547,0.85,6.306,300.99,29.43,3.048,62.428
134.54,16.56,0.765,56.64,0.248,0.72,7.598,292.97,53.68,4.076,50.0
500.75,10.77,0.512,61.07,0.308,0.312,4.733,295.9,148.97,1.586,89.748
125.3,23.73,0.721,38.93,0.051,0.176,5.487,299.81,102.73,1.403,50.932
151.64,18.52,0.541,41.64,0.076,0.215,4.91,293.27,128.74,0.91,46.942
269.05,14.65,0.56,68.0,0.464,0.559,6.65,295.68,201.63,2.525,86.643
57.48,19.56,0.577,57.65,0.242,0.37,4.639,293.65,56.96,3.99,35.585
332.64,19.65,0.488,56.79,0.322,0.21,7.429,296.39,55.07,1.813,79.506
147.33,13.64,0.518,53.05,0.361,0.387,8.315,294.89,18.65,1.37,46.833
83.54,18.8,0.607,66.83,0.365,0.39,4.213,299.54,30.43,5.033,33.602
114.26,17.81,0.549,46.83,0.272,0.547,4.734,295.92,69.76,1.724,50.683
283.51,12.59,0.606,64.01,0.338,0.85,3.301,295.54,65.82,1.409,52.902
89.69,24.13,0.643,53.66,0.556,0.61,5.393,295.92,250.0,1.287,67.519
366.14,16.15,0.518,35.09,0.365,0.1,5.081,295.55,37.78,3.789,77.121
215.75,20.56,0.448,67.74,0.397,0.593,6.681,295.05,201.61,3.037,78.171
575.38,10.61,0.34,80.8,0.278,0.1,6.643,302.41,89.8,3.113,105.142
92.47,18.83,0.572,71.2,0.314,0.591,10.0,300.53,54.98,2.787,32.928
160.91,15.3,0.618,46.7,0.107,0.85,5.905,304.6,250.0,2.586,63.033
1000.0,6.88,0.377,58.58,0.179,0.651,6.802,298.82,39.64,3.448,101.506
661.77,15.83,0.333,63.37,0.249,0.402,8.134,301.99,45.17,5.339,87.16
391.6,17.65,0.542,68.14,0.151,0.169,5.75,295.56,72.26,1.374,81.908
147.68,20.26,0.63,59.77,0.36,0.632,4.174,294.64,62.64,1.389,48.377
172.23,18.08,0.366,40.88,0.176,0.4,8.752,288.24,55.79,1.309,42.965
136.86,16.56,0.677,52.13,0.217,0.627,7.813,313.0,180.92,0.644,54.137
126.66,21.85,0.392,36.36,0.202,0.522,7.039,292.5,38.32,7.561,53.523
53.01,13.92,0.661,51.1,0.31,0.481,3.756,305.02,57.97,1.719,32.541
127.07,16.4,0.492,35.12,0.263,0.772,2.0,304.55,49.9,0.841,25.295
253.33,18.95,0.543,53.47,0.21,0.765,5.647,290.07,130.04,1.257,70.67
109.22,24.57,0.465,68.48,0.201,0.316,4.998,290.7,51.92,1.054,44.421
154.1,16.99,0.508,44.24,0.257,0.429,4.387,304.77,37.4,3.574,39.315
113.52,15.98,0.62,61.15,0.317,0.549,7.065,301.02,43.59,8.266,56.536
94.08,21.51,0.544,75.51,0.194,0.46,4.522,300.16,5.3,3.453,25.575
183.45,18.21,0.462,40.95,0.145,0.516,7.849,295.49,35.82,3.944,49.224
163.11,21.67,0.51,40.06,0.303,0.748,4.35,297.23,67.87,0.422,48.342
154.01,17.51,0.549,81.01,0.378,0.41,5.884,309.09,164.94,1.93,68.31
107.84,22.53,0.639,60.26,0.265,0.63,7.405,291.57,25.35,1.387,42.083
349.11,16.53,0.418,44.78,0.464,0.381,6.681,306.1,33.18,1.126,90.673
88.26,20.31,0.584,62.08,0.365,0.1,3.493,289.85,85.62,0.825,37.396
166.41,15.89,0.625,34.03,0.439,0.514,6.551,301.56,99.01,2.363,73.903
172.95,21.19,0.48,58.12,0.218,0.753,7.665,299.6,23.62,1.242,52.319
292.69,13.32,0.535,75.04,0.257,0.124,5.894,303.57,54.31,0.649,75.321
59.82,20.26,0.592,58.04,0.287,0.478,6.671,302.41,66.93,2.534,60.12
126.17,14.62,0.8,39.11,0.42,0.597,6.906,295.9,48.12,3.379,59.545
81.81,19.4,0.536,45.0,0.406,0.644,4.542,293.19,5.33,2.837,30.548
142.64,17.78,0.494,33.47,0.48,0.579,6.298,305.91,250.0,3.308,74.924
324.1,16.23,0.452,49.93,0.284,0.642,6.318,296.83,73.36,0.789,84.147
86.9,11.01,0.591,49.24,0.136,0.234,5.696,294.95,15.78,3.003,42.081
152.73,19.39,0.649,71.9,0.286,0.652,5.37,304.42,17.74,1.733,47.863
334.01,19.09,0.556,70.64,0.315,0.729,6.485,299.62,16.95,2.203,73.213
311.56,20.03,0.493,65.01,0.203,0.341,2.0,299.74,14.42,1.865,42.67
119.09,18.55,0.591,46.0,0.259,0.254,4.973,289.61,22.86,2.124,44.143
353.26,15.01,0.618,61.49,0.29,0.308,3.466,294.42,57.1,3.353,55.003
211.66,19.8,0.655,57.14,0.227,0.1,9.761,309.83,33.73,3.022,36.868
242.39,13.52,0.492,48.46,0.255,0.378,4.91,303.38,30.9,1.612,57.966
396.53,14.56,0.394,25.0,0.317,0.432,7.399,300.46,30.72,0.714,85.18
143.36,19.31,0.652,72.68,0.235,0.454,2.885,306.43,124.98,4.574,34.535
1000.0,11.83,0.273,55.34,0.33,0.795,7.266,294.34,116.21,2.344,112.654
365.25,15.93,0.501,64.6,0.431,0.455,9.058,293.28,250.0,1.339,74.705
321.25,20.13,0.349,35.24,0.265,0.594,6.431,296.56,39.75,0.911,84.035
203.18,20.53,0.448,50.99,0.395,0.373,8.785,298.27,52.82,2.177,50.27
87.81,15.76,0.729,66.67,0.417,0.653,7.612,289.66,56.37,1.58,49.118
365.25,13.34,0.543,67.02,0.227,0.4,5.195,298.98,134.16,1.059,75.716
180.19,16.54,0.744,53.89,0.31,0.122,5.847,309.67,33.08,1.286,62.7
189.07,20.67,0.592,55.8,0.22,0.611,5.633,293.03,27.22,3.105,51.687
242.33,16.93,0.448,41.37,0.615,0.738,5.918,309.34,37.65,2.832,80.256
91.77,11.23,0.649,66.07,0.061,0.815,5.471,303.3,77.41,2.191,46.937
182.13,19.03,0.502,64.96,0.495,0.532,8.469,299.46,14.11,1.946,44.571
422.72,18.58,0.333,36.25,0.18,0.292,9.357,291.3,207.13,7.045,69.889
53.57,20.11,0.571,65.83,0.271,0.85,6.849,298.88,9.75,1.413,45.083
304.48,14.9,0.566,68.12,0.145,0.367,4.518,309.33,44.36,3.356,52.141
209.65,19.36,0.399,77.73,0.05,0.214,6.657,294.5,110.37,0.86,59.593
58.69,20.62,0.671,72.34,0.068,0.493,4.171,307.81,194.66,2.074,31.946
720.25,11.29,0.509,71.45,0.53,0.37,10.0,287.46,229.15,3.108,94.038
505.62,17.06,0.415,48.24,0.194,0.249,2.0,295.79,29.89,0.618,64.348
1000.0,6.56,0.425,46.37,0.466,0.268,6.488,308.14,9.7,0.746,114.423
126.53,22.4,0.635,42.59,0.4,0.669,6.846,303.73,250.0,3.488,67.795
107.64,17.6,0.612,71.54,0.15,0.526,5.439,288.49,85.9,2.113,46.29
443.06,20.69,0.434,47.18,0.328,0.226,5.727,302.92,55.09,2.302,97.022
107.21,19.69,0.532,59.25,0.271,0.384,6.85,292.38,55.26,2.956,64.679
343.11,16.96,0.503,46.71,0.366,0.714,3.64,296.87,29.39,2.995,57.969
168.3,21.15,0.506,38.27,0.096,0.467,8.202,302.81,65.57,1.129,44.225
236.53,18.7,0.677,61.18,0.302,0.488,6.2,297.02,29.38,4.841,61.873
519.72,11.17,0.404,62.44,0.284,0.158,2.274,297.17,171.76,2.845,74.692
138.6,19.02,0.51,56.39,0.433,0.764,3.419,298.14,74.8,5.612,37.579
124.14,18.32,0.632,49.55,0.508,0.279,5.8,302.34,39.45,1.081,64.387
70.07,15.05,0.554,67.37,0.272,0.206,5.181,306.75,27.63,5.641,39.364
626.01,14.19,0.492,61.58,0.315,0.446,5.335,303.73,79.32,2.817,95.27
368.15,18.42,0.59,74.38,0.484,0.356,5.442,302.66,28.06,1.437,78.338
317.94,16.62,0.519,32.99,0.36,0.432,6.159,300.56,81.36,0.9,87.023
332.99,16.94,0.496,80.96,0.44,0.561,6.519,296.99,121.27,2.725,88.872
132.08,14.71,0.595,49.85,0.194,0.209,6.018,293.21,24.3,2.21,59.162
101.0,19.55,0.613,47.63,0.214,0.281,6.884,288.67,79.83,1.622,58.757
322.17,17.95,0.553,43.28,0.204,0.504,6.62,296.49,52.6,4.554,70.521
169.37,19.03,0.493,55.44,0.457,0.408,9.992,297.41,31.55,1.273,42.99
718.72,11.0,0.323,76.02,0.159,0.277,5.369,293.77,160.58,1.025,103.498
182.1,19.66,0.496,64.64,0.46,0.529,4.962,302.91,113.15,2.129,66.057
51.66,23.29,0.441,52.73,0.255,0.741,7.041,302.13,63.9,1.306,63.626
259.47,12.31,0.519,50.08,0.313,0.554,6.724,291.52,23.5,1.611,69.259
145.87,16.68,0.568,57.43,0.409,0.323,6.151,300.57,250.0,1.173,73.867
74.16,22.36,0.557,46.85,0.34,0.1,8.304,304.59,35.02,1.409,44.356
94.81,16.78,0.516,68.0,0.322,0.651,7.078,292.78,21.44,5.451,48.647
79.37,17.88,0.557,44.28,0.334,0.368,8.089,289.38,62.2,0.516,47.238
434.01,16.4,0.489,80.66,0.318,0.502,7.615,297.32,91.22,2.956,87.072
122.9,17.01,0.545,54.53,0.37,0.685,5.714,294.45,63.71,2.605,62.844
235.82,17.8,0.478,70.14,0.253,0.44,3.486,292.21,47.06,1.168,42.958
206.5,20.93,0.641,55.35,0.303,0.347,7.665,296.66,87.73,4.323,61.911
135.32,16.61,0.336,59.75,0.486,0.344,8.006,303.18,155.91,1.872,69.336
448.44,20.92,0.424,32.53,0.407,0.493,6.545,301.08,250.0,3.305,106.927
194.78,17.05,0.529,48.63,0.355,0.533,6.507,286.4,18.34,3.086,61.93
629.36,11.48,0.428,49.63,0.359,0.448,6.662,293.63,111.03,0.913,110.425
132.66,22.34,0.54,44.4,0.242,0.346,9.386,297.49,58.66,5.972,30.182
134.09,16.6,0.703,51.78,0.37,0.384,6.594,301.13,7.85,2.486,48.775
308.41,16.26,0.591,47.11,0.34,0.156,2.0,291.03,18.1,0.9,47.202
534.68,13.75,0.275,62.65,0.269,0.543,6.414,302.72,178.95,10.0,103.082
653.37,17.47,0.342,31.78,0.499,0.569,3.36,303.51,77.17,4.301,92.532
